temp,hum,windspeed,cnt
0.16,0.43,0.3881,88
0.18,0.43,0.2537,44
0.2,0.4,0.3284,51
0.22,0.35,0.2985,61
0.24,0.35,0.2836,61
0.26,0.3,0.2836,77
0.26,0.3,0.2537,72
0.26,0.3,0.2537,76
0.24,0.3,0.2239,157
0.16,0.64,0.2239,100
0.16,0.69,0.3284,42
0.22,0.51,0.2985,57
0.22,0.51,0.1642,78
0.24,0.56,0.19399999999999998,97
0.26,0.52,0.2239,63
0.28,0.52,0.2537,65
0.3,0.49,0.2537,83
0.28,0.48,0.2239,212
0.22,0.37,0.3284,115
0.22,0.37,0.3284,57
0.26,0.33,0.3284,46
0.26,0.33,0.3284,79
0.28,0.3,0.2985,71
0.3,0.28,0.19399999999999998,62
0.3,0.28,0.19399999999999998,62
0.3,0.28,0.0896,89
0.24,0.38,0.19399999999999998,190
0.18,0.51,0.0,122
0.2,0.47,0.0,45
0.22,0.44,0.0896,59
0.26,0.35,0.0,84
0.26,0.35,0.1045,67
0.28,0.36,0.1642,70
0.28,0.36,0.0,62
0.26,0.38,0.1642,86
0.22,0.51,0.1642,172
0.2,0.47,0.2985,134
0.22,0.37,0.3284,63
0.2,0.4,0.2239,67
0.2,0.37,0.2537,59
0.2,0.37,0.2836,73
0.2,0.4,0.2537,50
0.2,0.37,0.1642,72
0.2,0.37,0.1642,87
0.2,0.37,0.0,187
0.14,0.5,0.2537,94
0.14,0.5,0.2985,31
0.16,0.47,0.2836,30
0.2,0.4,0.2836,52
0.2,0.4,0.2836,54
0.2,0.4,0.2239,47
0.2,0.4,0.2239,45
0.2,0.4,0.1343,74
0.2,0.4,0.1045,178
0.18,0.51,0.1642,130
0.2,0.51,0.1642,54
0.2,0.47,0.1343,35
0.2,0.51,0.1045,57
0.2,0.59,0.0896,52
0.2,0.59,0.0896,63
0.16,0.8,0.0896,47
0.16,0.86,0.2239,76
0.16,0.86,0.2239,136
0.16,0.59,0.3284,81
0.18,0.55,0.2239,39
0.2,0.51,0.3881,35
0.2,0.47,0.5821,55
0.22,0.44,0.3582,49
0.2,0.47,0.3284,44
0.2,0.47,0.4179,49
0.22,0.44,0.3284,68
